Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Herbert Jones,25.1,NOP,Wing,2310,30.4,89,59.8%,84,41%,34,12%,43,4%,27,17%,77,24%,20,19%,39,42%
Tre Jones,23.8,SAS,Point,2121,27.6,72,56.5%,88,41%,67,26%,5,2%,40,29%,84,13%,14,17%,19,30%
Tyus Jones,27.5,WAS,Point,1932,29.3,79,56.9%,16,16%,98,39%,28,7%,86,46%,74,10%,37,28%,47,38%
Derrick Jones Jr.,26.7,DAL,Forward,1769,23.3,71,56.8%,71,43%,23,13%,8,1%,17,14%,90,27%,33,16%,58,44%
DeAndre Jordan,35.3,DEN,Big,380,10.6,80,63.0%,97,88%,11,11%,23,1%,8,12%,0,0%,0,0%,0,0%
Cory Joseph,32.2,GSW,Combo,262,11.4,19,47.2%,6,9%,40,20%,38,7%,35,27%,91,22%,79,42%,88,64%
Nikola Jovic,20.4,MIA,Big,862,20.1,55,57.7%,12,26%,38,17%,40,2%,35,19%,84,16%,91,38%,90,54%
Johnny Juzang,22.6,UTA,Wing,357,18.8,96,64.4%,11,14%,54,16%,38,4%,45,20%,96,34%,60,33%,84,66%
Luke Kennard,27.4,MEM,Combo,994,25.5,99,62.3%,5,8%,10,10%,37,7%,10,18%,45,9%,100,66%,99,75%
Walker Kessler,22.3,UTA,Big,1469,23.0,88,65.7%,92,81%,18,13%,21,1%,11,14%,51,5%,0,0%,31,5%
Corey Kispert,24.7,WAS,Wing,2041,25.5,90,60.6%,48,26%,48,15%,14,2%,28,17%,34,13%,83,44%,70,57%
Maxi Kleber,31.8,DAL,Big,871,20.3,30,54.5%,14,27%,14,12%,55,3%,19,15%,91,21%,89,37%,93,58%
Kevin Knox,24.2,DET,Wing,526,17.5,60,55.0%,57,29%,54,16%,61,7%,54,23%,62,19%,44,29%,54,48%
John Konchar,27.6,MEM,Wing,1128,21.7,33,51.0%,77,38%,2,4%,5,0%,1,5%,91,30%,42,27%,70,57%
Furkan Korkmaz,26.3,PHI,Wing,220,8.8,37,51.8%,42,24%,77,22%,63,7%,73,29%,2,3%,82,43%,51,47%
Luke Kornet,28.3,BOS,Big,919,15.3,97,70.6%,99,90%,6,10%,0,0%,3,10%,0,0%,23,0%,16,0%
Vit Krejci,23.4,ATL,Wing,514,23.4,99,66.3%,17,17%,36,13%,33,3%,26,16%,60,18%,89,48%,84,67%
Jonathan Kuminga,21.1,GSW,Forward,1932,26.1,69,56.3%,79,45%,92,32%,60,7%,88,39%,10,5%,17,11%,10,17%
Kyle Kuzma,28.3,WAS,Big,2279,32.6,17,52.2%,16,28%,82,30%,86,11%,88,41%,61,8%,71,24%,65,32%
Jake LaRavia,22.0,MEM,Wing,766,23.2,19,48.8%,63,32%,70,20%,31,3%,52,23%,20,9%,70,37%,48,45%
Zach LaVine,28.6,CHI,Wing,871,34.9,49,53.2%,71,36%,18,10%,86,13%,53,23%,15,8%,64,34%,37,41%
Jock Landale,28.0,HOU,Big,688,13.2,39,56.0%,61,57%,54,22%,74,6%,57,28%,30,1%,55,14%,43,15%
A.J. Lawson,23.3,DAL,Wing,203,7.5,17,48.1%,86,42%,12,8%,37,3%,13,12%,92,30%,13,16%,51,47%
Caris LeVert,29.2,CLE,Wing,1923,28.3,18,48.4%,69,35%,85,25%,34,3%,69,28%,16,8%,45,29%,24,37%
